Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags,Source,ICP Match
Publix,publix.com,Warehousing and Storage,"Marietta, Georgia, United States",51-200,https://www.linkedin.com/company/publix-distribution-center,Publix is a grocery retailer that specializes in providing a wide range of food and beverage products.,,,,No
Sunglass Hut,sunglasshut.com,Warehousing and Storage,"Syracuse, New York, United States",51-200,https://www.linkedin.com/company/sun-glass-hut,,,,,No
EFulfillment Service,efulfillmentservice.com,Warehousing and Storage,"Traverse City, Michigan, United States",51-200,https://www.linkedin.com/company/efulfillment-service-inc,"eFulfillment Service is a eCommerce order fulfillment company that offers affordable inventory storage and fast, accurate order fulfillment through a web-based Fulfillment Control Panel.",privately held,,,Yes
4PX,4px.com,Warehousing and Storage,United States,201-500,https://www.linkedin.com/company/us4px,"4PX 递四方 is a logistics company that specializes in supply chain management, e-commerce shipping, and parcel delivery.",partnership,,,Yes
MTH Electric Trains,mthtrains.com,Warehousing and Storage,"Columbia, Maryland, United States",51-200,https://www.linkedin.com/company/mth-electric-trains,,,,,No
Cubiscan,cubiscan.com,Warehousing and Storage,"Farmington, Utah, United States",51-200,https://www.linkedin.com/company/cubiscan,"Cubiscan is a high-tech company that produces advanced dimensioning and weighing systems designed to increase efficiency and profitability in material handling, logistics, supply chain, and freight handling operations, focusing on data accuracy.",privately held,,,Yes
Traffic Control,trafficcontrolcorp.com,Warehousing and Storage,"Woodridge, Illinois, United States",51-200,https://www.linkedin.com/company/traffic-control-corporation,"Traffic Control is a distributor of traffic signal equipment, offering expertise in traffic control matters in the Midwest.",privately held,,,No
Nordic Naturals,nordic.com,Warehousing and Storage,"Oxford, Alabama, United States",51-200,https://www.linkedin.com/company/nordic-cold-storage,Nordic Naturals is a nutritional supplements company that focuses on delivering safe and effective nutrients essential to health.,,,,No
QuickBox Fulfillment,quickbox.com,Warehousing and Storage,"Denver, Colorado, United States",201-500,https://www.linkedin.com/company/quickbox-fulfillment,QuickBox Fulfillment is an e-commerce logistics company that specializes in order fulfillment and shipping solutions.,privately held,,,Yes
IPSCO,ipsco.com,Warehousing and Storage,"Muscatine, Iowa, United States",51-200,https://www.linkedin.com/company/ipsco-steel-inc,IPSCO is a pipe manufacturing company that specializes in providing steel pipes for the oil and gas industry.,,,,No
Tippmann Group / Interstate Warehousing,tippmanngroup.com,Warehousing and Storage,"Fort Wayne, Indiana, United States",501-1000,https://www.linkedin.com/company/interstate-warehousing,"Tippmann Group / Interstate Warehousing is a logistics company that offers warehousing, distribution, and cold storage services.",privately held,,,Yes
Grocery Supply,grocerysupply.com,Warehousing and Storage,"Sulphur Springs, Texas, United States",1001-5000,https://www.linkedin.com/company/grocery-supply-company,Grocery Supply Company is a food retail company that specializes in providing wholesale grocery products.,public company,,,No
Miken Sports,mikensports.com,Warehousing and Storage,"Rye, New York, United States",51-200,https://www.linkedin.com/company/miken-sports-llc,"Miken Sports is a sports equipment company that specializes in manufacturing slowpitch bats, fastpitch bats, baseball bats, and gear with a focus on determination and domination in the game.",,,,No
Verst Logistics,verstlogistics.com,Warehousing and Storage,"Louisville, Kentucky, United States",51-200,https://www.linkedin.com/company/zenith-logistics,"Verst Logistics is a logistics company that specializes in supply chain management, transportation, warehousing, and distribution services.",partnership,,,Yes
Swan Packaging Fulfillment,swanpackaging.com,Warehousing and Storage,"Wayne, New Jersey, United States",51-200,https://www.linkedin.com/company/swan-packaging-fulfillment,"Swan Packaging Fulfillment is a packaging fulfillment company that offers warehousing, storage, and complete inventory management services for order fulfillment.",privately held,,,Yes
Nor-Am Cold Storage,nor-am.com,Warehousing and Storage,"United States, Iowa",201-500,https://www.linkedin.com/company/nor-am-cold-storage,Nor-Am Cold Storage is a logistics company that specializes in cold storage and temperature-controlled warehouse management.,privately held,,,Yes
Integrated Marketing Technologies,imtco.com,Warehousing and Storage,"Brunswick, Ohio, United States",51-200,https://www.linkedin.com/company/integrated-marketing-technologies,Integrated Marketing Technologies is a marketing company that offers comprehensive sales and marketing support services.,privately held,,,No
Birdsong Peanuts,birdsongpeanuts.com,Warehousing and Storage,"Gorman, Texas, United States",51-200,https://www.linkedin.com/company/birdsong-peanuts,"Birdsong Peanuts is a food processing company that specializes in cleaning, shelling, sizing, and shipping peanuts in truckload lots to manufacturers for various food products.",,,,Yes
Nwcs425.com,nwcs425.com,Warehousing and Storage,"Olympia, Washington, United States",51-200,https://www.linkedin.com/company/nwcs-northwest-cannabis-solutions,"NWCS-Northwest Cannabis Solutions is a cannabis company that focuses on excellence, people, integrity, and courage in producing and distributing high-quality cannabis products.",privately held,,,No
Disk.com,disk.com,Warehousing and Storage,"McHenry, Illinois, United States",51-200,https://www.linkedin.com/company/corporate-disk-company,"Disk.com is a data management company that specializes in producing, managing, and delivering information products.",privately held,,,No
FlexCold,flexcold.com,Warehousing and Storage,"Jacksonville, Florida, United States",51-200,https://www.linkedin.com/company/flexcold,FlexCold is a cold storage facility that utilizes a state-of-the-art mobile racking system and cutting-edge technology to provide a 100% paperless warehouse experience with exceptional on-time truck turns.,privately held,,,Yes
Peoples Services,peoplesservices.com,Warehousing and Storage,"Canton, Ohio, United States",501-1000,https://www.linkedin.com/company/totaldistributioninc,"Peoples Services is a logistics company that offers comprehensive supply chain management, transportation, warehousing, and distribution services.",privately held,,,Yes
Allan Brothers,allanbrosfruit.com,Warehousing and Storage,"United States, Washington",201-500,https://www.linkedin.com/company/allan-brothers-inc.,Allan Brothers is a fruit farming company that specializes in the production and distribution of fruits.,privately held,,,Yes
Dura-Bar Metal Services,dura-barms.com,Warehousing and Storage,"Woodstock, Illinois, United States",51-200,https://www.linkedin.com/company/dura-bar-metal-services,"Dura is a metal distribution company that specializes in distributing Dura-Bar continuous cast iron bronze alloys, focusing on timely supply to save customers time and money.",privately held,,,Yes
ITL,itlchicago.com,Warehousing and Storage,"Aurora, Illinois, United States",51-200,https://www.linkedin.com/company/itlchicago,ITL is an IT services company that specializes in providing technology solutions and consulting services.,privately held,,,No
Kolay Flooring International,kolayflooring.com,Warehousing and Storage,"United States, California",51-200,https://www.linkedin.com/company/kolay-flooring-international,Kolay Flooring International is a flooring company that offers high-quality customizable products at competitive prices without custom markups.,partnership,,,No
"InterChange Group, Inc.",interchangeco.com,Warehousing and Storage,"United States, Virginia",201-500,https://www.linkedin.com/company/interchangegroupinc,InterChange Group is a Third Party Logistics provider and developer with a focus on warehouse management and industrial development.,privately held,,,Yes
Edges Electrical Group,edgesgroup.com,Warehousing and Storage,"San Jose, California, United States",201-500,https://www.linkedin.com/company/edges-electrical-group,"Edges Electrical Group is an electrical distributor that provides top products, tools, and solutions to power the success of its customers across Northern California.",privately held,,,No
Traina® Dried Fruit,trainadriedfruit.com,Warehousing and Storage,"Patterson, California, United States",51-200,https://www.linkedin.com/company/traina-dried-fruit-inc.,"Traina® Dried Fruit is an industrial sun dried fruit ingredient supplier for wholesale, commercial use, foodservice, and packaged goods.",,,,No
Nautical Manufacturing and Fulfillment,nautical-direct.com,Warehousing and Storage,"Lenexa, Kansas, United States",51-200,https://www.linkedin.com/company/nauticaldirect,"Your partner for full-service 3PL solutions. Rely on Nautical Manufacturing & Fulfillment for leading warehousing and fulfillment services, including customized configurations for kitting, pick and pack, and more. Through our extensive partner network, we also drive strong ROI throughout the supply chain in manufacturing, freight, logistics, and staffing.",privately held,,,Yes
One World Direct,owd.com,Warehousing and Storage,"Mobridge, South Dakota, United States",51-200,https://www.linkedin.com/company/one-world-direct,"One World Direct is an E-commerce company that offers a complete range of back-end services including fulfillment, logistics, call center, and e-commerce solutions under the concept of Complete-Commerce.",privately held,,,Yes
Blackline Cold Storage,blacklinecoldstorage.com,Warehousing and Storage,"Baytown, Texas, United States",51-200,https://www.linkedin.com/company/blacklinecoldstorage,"Discover top-tier Houston cold storage solutions with Blackline Cold Storage. Our state-of-the-art facility offers secure, temperature-controlled warehousing perfect for your logistical needs. Contact us for reliable and efficient cold storage services in Houston.",privately held,,,Yes
FellowShip Warehousing & Logistics,fellowshipco.com,Warehousing and Storage,"Moreno Valley, California, United States",51-200,https://www.linkedin.com/company/fellowship-warehousing-logistics,FellowShip is a warehousing and logistics company that provides 1st-party logistics services and helps businesses manage their supply chain effectively.,self owned,,,Yes
United States Cold Storage,uscold.com,Warehousing and Storage,"Camden, New Jersey, United States",1001-5000,https://www.linkedin.com/company/united-states-cold-storage-inc-,United States Cold Storage is a provider of cold storage services offering temperature-controlled storage and logistics solutions.,privately held,,,Yes
EWorld Fulfillment,eworldfulfillment.com,Warehousing and Storage,"United States, Florida",51-200,https://www.linkedin.com/company/eworld-fulfillment,"eWorld Fulfillment is a fulfillment service provider that specializes in direct to consumer product fulfillment for eCommerce stores, traditional retailers, and direct response clients.",privately held,,,Yes
Darn It!,darnit.com,Warehousing and Storage,"New Bedford, Massachusetts, United States",51-200,https://www.linkedin.com/company/darn-it-inc.,"Darnit is a distribution and refurbishment company that provides door to door logistic solutions, warehousing, and distribution services for retailers, manufacturers and wholesalers worldwide.",self owned,,,Yes
S.J. Distributors,sjfood.com,Warehousing and Storage,"Milpitas, California, United States",51-200,https://www.linkedin.com/company/sjdistributors,"S.J. Distributors is a wholesale supplier specializing in a variety of vegetables, frozen meat, seafood and dry goods for the general public, restaurants, and chain stores.",privately held,,,No
Custom Assembly,customassembly.net,Warehousing and Storage,"United States, Ohio",201-500,https://www.linkedin.com/company/customassembly,Custom Assembly is a manufacturing company that provides customized assembly services and contract manufacturing solutions.,privately held,,,No
Liebovich Steel & Aluminum,liebovichsteel.com,Warehousing and Storage,"Rockford, Illinois, United States",201-500,https://www.linkedin.com/company/liebovich-steel-%26-aluminum,"Located in Rockford, Illinois, one of the most comprehensive metals service centers in the Midwest. Ferrous, non-ferrous steel, aluminum and coiled metals and a full range of metals processing.",public company,,,No
American Surplus,americansurplus.com,Warehousing and Storage,"East Providence, Rhode Island, United States",51-200,https://www.linkedin.com/company/american-surplus-inc-,"American Surplus is a warehouse storage and material handling equipment company that specializes in buying and selling used equipment at competitive prices, providing customized solutions for customers.",public company,,,Yes
ResinDek,resindek.com,Warehousing and Storage,"Cincinnati, Ohio, United States",201-500,https://www.linkedin.com/company/cornerstone-specialty-wood-products-llc,ResinDek is a industrial flooring provider specializing in durable resin-coated flooring solutions for warehouses and manufacturing facilities.,privately held,,,Yes
Safesite,safesite.cc,Warehousing and Storage,"Austin, Texas, United States",201-500,https://www.linkedin.com/company/safesite-inc-records-management,Safesite Off-Site Records Management Services is a document storage company that specializes in secure off-site storage and management of records to ensure data protection.,self owned,,,Yes
Industrial Warehouse Services,iwslogistics.com,Warehousing and Storage,"Tuscaloosa, Alabama, United States",51-200,https://www.linkedin.com/company/industrial-warehouse-services-inc-,Industrial Warehouse Services is a warehousing and logistics company that provides reliable and experienced industrial services.,privately held,,,Yes
Express Freight Handlers Inc,expressunload.com,Warehousing and Storage,"243 South St, 11771, Oyster Bay, New York, United States",51-200,https://www.linkedin.com/company/express-freight-handlers-inc,Express Freight Handlers is a logistics company that specializes in efficient and effective freight handling to optimize costs and increase profits.,privately held,,,Yes
D+S Distribution,dsdistribution.com,Warehousing and Storage,"Wooster, Ohio, United States",51-200,https://www.linkedin.com/company/d-s-distribution-inc.,"D+S Distribution is a warehousing and distribution company that offers facility leasing, transportation, and supply chain management services with a focus on Ohio-based businesses.",privately held,,,Yes
ReadySpaces,readyspaces.com,Warehousing and Storage,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/readyspaces-warehouses,ReadySpaces is a flexible warehouse space provider that offers cost-effective and efficient solutions for small businesses across major markets in the U.S. and Canada.,privately held,,,Yes
